CLAVE_ID,PILARES,ALCALDIA,ZONA,MODELO,EQUIPOS 8GB,INACTIVOS,% PASTA,MOUSE,TECLADOS
069_NT_GAM,100 METROS,GUSTAVO A. MADERO,NORTE,HP 705,10 / 26,0,0%,0,0
060_SU_XOC,16 DE SEPTIEMBRE,XOCHIMILCO,SUR,HP 705,16 / 26,3,0%,0,0
249_CO_VCA,20 DE NOVIEMBRE,VENUSTIANO CARRANZA,CENTRO,HP 705,18 / 40,4,0%,0,0
128_CO_BEJ,8 DE AGOSTO,BENITO JUAREZ,CENTRO,HP 705,1 / 30,1,0%,0,0
011_IZ_IZP,ACAHUALTEPEC,IZTAPALAPA,ORIENTE,HP 600,10 / 31,4,0%,0,0
153_SU_XOC,ACUEXCOMATL,XOCHIMILCO,SUR,HP 705,10 / 40,0,0%,0,0
151_CO_VCA,ADOLFO LÓPEZ MATEOS,VENUSTIANO CARRANZA,CENTRO,,0 / 0,0,0%,0,0
010_CO_IZT,AGRÍCOLA PANTITLÁN,IZTACALCO,CENTRO,DELL 3060,10 / 31,0,0%,0,0
154_SU_XOC,AHUALAPA,XOCHIMILCO,SUR,HP 705,10 / 40,1,0%,0,0
134_NT_GAM,ALI CHUMACERO,GUSTAVO A. MADERO,NORTE,HP 705,15 / 40,1,0%,0,0
241_SP_TLP,AMPARO OCHOA,TLALPAN,SUR PONIENTE,HP 705,20 / 40,2,0%,0,0
198_NT_GAM,AMPLIACIÓN PROVIDENCIA,GUSTAVO A. MADERO,NORTE,HP 705,7 / 31,1,0%,0,0
144_SU_TLH,ANA BOLENA,TLAHUAC,SUR,HP 705,30 / 40,1,0%,0,0
303_CO_CUH,ANAHUAC,IZTAPALAPA,CENTRO,HP 705,14 / 14,2,0%,0,0
215_IZ_IZP,APATLACO,IZTAPALAPA,ORIENTE,HP 705,32 / 40,2,0%,0,0
208_NT_GAM,ARAGÓN II,GUSTAVO A. MADERO,NORTE,HP 705,27 / 27,0,0%,0,0
168_NT_GAM,ARAGÓN VI,GUSTAVO A. MADERO,NORTE,HP 705,10 / 30,1,0%,0,0
